"","seqnames","start","end","width","strand","V4","V5","V6","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"2580","chr18",39783859,39783879,21,"*","chr18_r_c82[k=28][m=27]",27,"-","Intron (ENST00000668737.1/647946, intron 1 of 4)",18,39387918,39800212,412295,2,"647946","ENST00000669520.1",16333
"2581","chr21",21192285,21192305,21,"*","chr21_f_c52[k=28][m=27]",27,"+","Intron (ENST00000400546.6/4685, intron 1 of 17)",21,21239342,21292190,52849,1,"4685","ENST00000486367.1",-47037
"2582","chr5",60866455,60866475,21,"*","chr5_r_c102[k=28][m=27]",27,"-","3' UTR",5,60751792,60844274,92483,2,"79993","ENST00000425382.5",-22181
"2583","chr6",108941890,108941910,21,"*","chr6_f_c305[k=28][m=27]",27,"+","Intron (ENST00000368972.7/84071, intron 11 of 16)",6,108959460,108965117,5658,1,"84071","ENST00000481850.1",-17550
"2584","chr6",31541132,31541152,21,"*","chr6_r_c90[k=28][m=27]",27,"-","Promoter (<=1kb)",6,31541101,31541178,78,2,"692199","ENST00000584275.1",26
"2585","chr7",105490461,105490481,21,"*","chr7_r_c265[k=28][m=27]",27,"-","Intron (ENST00000481939.5/54517, intron 7 of 16)",7,105491549,105495347,3799,2,"54517","ENST00000487277.1",4866
"2586","chrX",48059382,48059402,21,"*","chrX_r_c92[k=28][m=27]",27,"-","Promoter (2-3kb)",23,48058180,48061805,3626,2,"57232","ENST00000616492.4",2403
"2587","chr11",1750385,1750405,21,"*","chr11_r_c10[k=29][m=27]",27,"-","Promoter (<=1kb)",11,1732410,1750580,18171,2,"402778","ENST00000382123.1",175
"2588","chr14",74797558,74797578,21,"*","chr14_f_c203[k=29][m=27]",27,"+","Intron (ENST00000325680.12/56252, intron 4 of 20)",14,74809632,74822115,12484,1,"56252","ENST00000547879.5",-12054
"2589","chr17",27459848,27459868,21,"*","chr17_f_c94[k=29][m=27]",27,"+","Intron (ENST00000644974.1/8844, intron 1 of 20)",17,27456730,27483855,27126,1,"8844","ENST00000579309.1",3118
"2590","chr3",65861409,65861429,21,"*","chr3_r_c201[k=29][m=27]",27,"-","Intron (ENST00000330909.12/9223, intron 1 of 24)",3,65893816,65925297,31482,1,"100873983","ENST00000472514.1",-32387
"2591","chr1",24347729,24347749,21,"*","chr1_f_c98[k=30][m=27]",27,"+","Intron (ENST00000361548.9/57822, intron 14 of 15)",1,24342160,24343275,1116,1,"57822","ENST00000461318.1",5569
"2592","chr9",77773998,77774018,21,"*","chr9_r_c108[k=31][m=27]",27,"-","Intron (ENST00000286548.9/2776, intron 5 of 6)",9,77423079,77648322,225244,2,"9630","ENST00000341700.7",-125676
"2593","chr1",10500355,10500375,21,"*","chr1_f_c46[k=33][m=27]",27,"+","Intron (ENST00000472851.1/5195, intron 2 of 3)",1,10474982,10623286,148305,1,"5195","ENST00000491661.2",25373
"2594","chr17",78674056,78674076,21,"*","chr17_r_c374[k=34][m=27]",27,"-","3' UTR",17,78675848,78681066,5219,2,"9267","ENST00000586430.1",6990
"2595","chr11",47584528,47584548,21,"*","chr11_f_c147[k=38][m=27]",27,"+","Promoter (2-3kb)",11,47586678,47589194,2517,1,"399888","ENST00000538490.3",-2130
"2596","chr3",58131823,58131843,21,"*","chr3_f_c227[k=48][m=27]",27,"+","Promoter (<=1kb)",3,58132078,58172251,40174,1,"2317","ENST00000481470.5",-235
"2597","chr5",66180947,66180967,21,"*","chr5_f_c132[k=48][m=27]",27,"+","3' UTR",5,66177327,66178939,1613,1,"140890","ENST00000519205.1",3620
"2598","chr1",246116176,246116196,21,"*","chr1_r_c870[k=55][m=27]",27,"-","Intron (ENST00000630181.2/64754, intron 5 of 11)",1,246108637,246113804,5168,1,"101928089","ENST00000651181.1",7539
"2599","chr3",49015896,49015916,21,"*","chr3_f_c175[k=57][m=27]",27,"+","Promoter (<=1kb)",3,49015488,49016283,796,2,"55152","ENST00000481001.5",367
"2600","chr2",15406703,15406723,21,"*","chr2_r_c31[k=88][m=27]",27,"-","Intron (ENST00000442506.5/51594, intron 1 of 27)",2,15393639,15417581,23943,2,"51594","ENST00000429842.1",10858
"2601","chr22",28795153,28795173,21,"*","chr22_r_c76[k=94][m=27]",27,"-","Promoter (1-2kb)",22,28794559,28797045,2487,2,"7494","ENST00000484256.1",1872
"2602","chr17",4945194,4945214,21,"*","chr17_f_c18[k=134][m=27]",27,"+","Promoter (<=1kb)",17,4944380,4944895,516,1,"26001","ENST00000574548.1",814
"2603","chr2",241229220,241229240,21,"*","chr2_r_c603[k=191][m=27]",27,"-","Promoter (<=1kb)",2,241229483,241229983,501,2,"3069","ENST00000494862.1",743
"2604","chr10",17237576,17237596,21,"*","chr10_f_c60[k=487][m=27]",27,"+","3' UTR",10,17233225,17235034,1810,1,"7431","ENST00000495528.1",4351
"2605","chr11",65499628,65499648,21,"*","chr11_f_c273[k=719][m=27]",27,"+","Promoter (1-2kb)",11,65497762,65506469,8708,1,"378938","ENST00000534336.1",1866
"2606","chr10",124948767,124948787,21,"*","chr10_f_c401[k=26][m=26]",26,"+","Intron (ENST00000359653.4/54764, intron 1 of 8)",10,124942123,124988189,46067,1,"54764","ENST00000359653.4",6644
"2607","chr10",21693980,21694000,21,"*","chr10_f_c83[k=26][m=26]",26,"+","Intron (ENST00000631589.1/8028, intron 13 of 22)",10,21673578,21713922,40345,1,"8028","ENST00000420525.1",20402
"2608","chr10",58638083,58638103,21,"*","chr10_f_c141[k=26][m=26]",26,"+","Intron (ENST00000373886.8/80114, intron 2 of 20)",10,58620849,58650867,30019,1,"80114","ENST00000476684.1",17234
"2609","chr10",69487338,69487358,21,"*","chr10_f_c176[k=26][m=26]",26,"+","Intron (ENST00000373290.7/23555, intron 3 of 7)",10,69483868,69507666,23799,1,"23555","ENST00000452130.1",3470
"2610","chr11",119709150,119709170,21,"*","chr11_r_c380[k=26][m=26]",26,"-","Promoter (<=1kb)",11,119709920,119713925,4006,1,"105369525","ENST00000529229.1",-750
"2611","chr11",13707357,13707377,21,"*","chr11_f_c52[k=26][m=26]",26,"+","Intron (ENST00000354817.8/84188, intron 3 of 11)",11,13710724,13715843,5120,1,"84188","ENST00000527202.1",-3347
"2612","chr11",2913038,2913058,21,"*","chr11_f_c15[k=26][m=26]",26,"+","Intron (ENST00000347936.6/5002, intron 5 of 10)",11,2916146,2921238,5093,1,"5002","ENST00000467719.5",-3088
"2613","chr11",33140441,33140461,21,"*","chr11_r_c123[k=26][m=26]",26,"-","Intron (ENST00000323959.9/1479, intron 3 of 20)",11,33134413,33161421,27009,2,"1479","ENST00000526480.1",20960
"2614","chr11",34137674,34137694,21,"*","chr11_f_c101[k=26][m=26]",26,"+","Promoter (1-2kb)",11,34138872,34139511,640,1,"55226","ENST00000530017.1",-1178
"2615","chr1",155325192,155325212,21,"*","chr1_f_c509[k=26][m=26]",26,"+","Promoter (<=1kb)",1,155325243,155326884,1642,1,"23623","ENST00000473331.1",-31
"2616","chr1",167983506,167983526,21,"*","chr1_f_c586[k=26][m=26]",26,"+","Intron (ENST00000450548.5/55827, intron 4 of 4)",1,167968490,167991339,22850,1,"55827","ENST00000491067.1",15016
"2617","chr1",171488498,171488518,21,"*","chr1_f_c597[k=26][m=26]",26,"+","Promoter (2-3kb)",1,171485596,171515859,30264,1,"23215","ENST00000467601.1",2902
"2618","chr11",72007718,72007738,21,"*","chr11_r_c258[k=26][m=26]",26,"-","Promoter (<=1kb)",11,72002864,72007916,5053,2,"4926","ENST00000540626.5",178
"2619","chr1",197143498,197143518,21,"*","chr1_r_c657[k=26][m=26]",26,"-","Promoter (2-3kb)",1,197084324,197146437,62114,2,"259266","ENST00000680710.1",2919
"2620","chr1",203813411,203813431,21,"*","chr1_f_c709[k=26][m=26]",26,"+","Promoter (1-2kb)",1,203814905,203854118,39214,1,"9877","ENST00000640465.1",-1474
"2621","chr12",121420084,121420104,21,"*","chr12_f_c442[k=26][m=26]",26,"+","Promoter (<=1kb)",12,121419898,121424349,4452,1,"80196","ENST00000554484.1",186
"2622","chr1",223765560,223765580,21,"*","chr1_f_c801[k=26][m=26]",26,"+","Intron (ENST00000433674.6/824, intron 15 of 20)",1,223769841,223772710,2870,1,"824","ENST00000472601.5",-4261
"2623","chr12",2864747,2864767,21,"*","chr12_f_c20[k=26][m=26]",26,"+","Promoter (<=1kb)",12,2863749,2864710,962,2,"2305","ENST00000366362.3",-37
"2624","chr1",24507035,24507055,21,"*","chr1_f_c100[k=26][m=26]",26,"+","Promoter (<=1kb)",1,24507567,24535357,27791,1,"11123","ENST00000425530.3",-512
"2625","chr1",26774053,26774073,21,"*","chr1_f_c110[k=26][m=26]",26,"+","Promoter (<=1kb)",1,26774870,26780983,6114,1,"8289","ENST00000532781.1",-797
"2626","chr12",82793230,82793250,21,"*","chr12_f_c337[k=26][m=26]",26,"+","Intron (ENST00000551915.5/160335, intron 1 of 7)",12,82758555,83134302,375748,1,"160335","ENST00000549919.1",34675
"2627","chr13",48418682,48418702,21,"*","chr13_f_c54[k=26][m=26]",26,"+","Promoter (2-3kb)",13,48389571,48415816,26246,2,"10161","ENST00000470937.1",-2866
"2628","chr14",102162470,102162490,21,"*","chr14_f_c271[k=26][m=26]",26,"+","Intron (ENST00000557485.5/91833, intron 1 of 2)",14,102157259,102208889,51631,1,"91833","ENST00000558854.5",5211
"2629","chr14",105249800,105249820,21,"*","chr14_r_c233[k=26][m=26]",26,"-","Promoter (<=1kb)",14,105209289,105249404,40116,2,"2972","ENST00000446501.6",-396
"2630","chr14",81177665,81177685,21,"*","chr14_r_c159[k=26][m=26]",26,"-","3' UTR",14,81052861,81170429,117569,2,"101928462","ENST00000652775.1",-7236
"2631","chr15",71446622,71446642,21,"*","chr15_f_c160[k=26][m=26]",26,"+","Intron (ENST00000355327.7/79875, intron 7 of 17)",15,71547228,71738217,190990,1,"79875","ENST00000567745.5",-100586
"2632","chr15",85485466,85485486,21,"*","chr15_f_c236[k=26][m=26]",26,"+","Intron (ENST00000559362.5/11214, intron 1 of 14)",15,85544040,85579184,35145,1,"11214","ENST00000558166.2",-58554
"2633","chr15",90062444,90062464,21,"*","chr15_f_c247[k=26][m=26]",26,"+","Intron (ENST00000268154.9/374655, intron 1 of 4)",15,90068014,90074532,6519,1,"374655","ENST00000558883.1",-5550
"2634","chr16",19119932,19119952,21,"*","chr16_f_c121[k=26][m=26]",26,"+","3' UTR",16,19114059,19173466,59408,1,"162073","ENST00000568526.1",5873
"2635","chr16",2757225,2757245,21,"*","chr16_f_c61[k=26][m=26]",26,"+","Promoter (<=1kb)",16,2757476,2760845,3370,1,"23524","ENST00000570971.2",-231
"2636","chr16",88768214,88768234,21,"*","chr16_r_c283[k=26][m=26]",26,"-","Intron (ENST00000301015.14/9780, intron 1 of 50)",16,88715338,88785220,69883,2,"9780","ENST00000301015.14",16986
"2637","chr17",2337067,2337087,21,"*","chr17_f_c5[k=26][m=26]",26,"+","Promoter (<=1kb)",17,2334785,2336657,1873,2,"55720","ENST00000571806.1",-410
"2638","chr17",28724370,28724390,21,"*","chr17_r_c113[k=26][m=26]",26,"-","Promoter (<=1kb)",17,28724358,28724850,493,2,"116238","ENST00000581236.1",460
"2639","chr17",29410070,29410090,21,"*","chr17_f_c110[k=26][m=26]",26,"+","Intron (ENST00000261716.8/57551, intron 1 of 19)",17,29390931,29544340,153410,1,"57551","ENST00000536202.1",19139
"2640","chr17",57407103,57407123,21,"*","chr17_f_c266[k=26][m=26]",26,"+","Promoter (<=1kb)",17,57406812,57627302,220491,1,"124540","ENST00000579205.5",291
"2641","chr17",61123430,61123450,21,"*","chr17_f_c299[k=26][m=26]",26,"+","Intron (ENST00000407086.8/54828, intron 22 of 23)",17,61119095,61135969,16875,2,"107984992","ENST00000666957.1",12519
"2642","chr17",73470185,73470205,21,"*","chr17_r_c345[k=26][m=26]",26,"-","Intron (ENST00000392650.8/54549, intron 3 of 44)",17,73357370,73437769,80400,2,"54549","ENST00000479356.1",-32416
"2643","chr17",77353961,77353981,21,"*","chr17_f_c383[k=26][m=26]",26,"+","Intron (ENST00000589070.1/10801, intron 1 of 1)",17,77373190,77500594,127405,1,"10801","ENST00000423034.6",-19209
"2644","chr17",77421528,77421548,21,"*","chr17_f_c392[k=26][m=26]",26,"+","Promoter (1-2kb)",17,77419802,77488826,69025,1,"10801","ENST00000591020.5",1726
"2645","chr17",79978046,79978066,21,"*","chr17_r_c390[k=26][m=26]",26,"-","Intron (ENST00000310924.7/125058, intron 3 of 11)",17,79991944,79992841,898,2,"125058","ENST00000576632.1",14775
"2646","chr17",82082216,82082236,21,"*","chr17_r_c424[k=26][m=26]",26,"-","Promoter (1-2kb)",17,82079168,82080742,1575,2,"2194","ENST00000580382.1",-1474
"2647","chr17",82596606,82596626,21,"*","chr17_f_c450[k=26][m=26]",26,"+","Intron (ENST00000473637.6/3607, intron 9 of 9)",17,82593422,82602405,8984,1,"3607","ENST00000529652.1",3184
"2648","chr18",50974791,50974811,21,"*","chr18_f_c106[k=26][m=26]",26,"+","Intron (ENST00000588577.5/55520, intron 2 of 3)",18,50968048,50984838,16791,1,"55520","ENST00000591429.1",6743
"2649","chr18",62161261,62161281,21,"*","chr18_r_c121[k=26][m=26]",26,"-","Promoter (<=1kb)",18,62145993,62161337,15345,2,"23556","ENST00000592803.2",56
"2650","chr19",2038480,2038500,21,"*","chr19_r_c24[k=26][m=26]",26,"-","3' UTR",19,2037465,2041842,4378,2,"2872","ENST00000589441.5",3342
"2651","chr19",28845298,28845318,21,"*","chr19_r_c136[k=26][m=26]",26,"-","Distal Intergenic",19,28883532,28969133,85602,1,"148145","ENST00000657984.1",-38214
"2652","chr19",35000330,35000350,21,"*","chr19_f_c208[k=26][m=26]",26,"+","Promoter (<=1kb)",19,35000323,35026469,26147,1,"57655","ENST00000680623.1",7
"2653","chr19",49005928,49005948,21,"*","chr19_f_c322[k=26][m=26]",26,"+","Promoter (1-2kb)",19,49004289,49015650,11362,1,"10856","ENST00000627972.1",1639
"2654","chr20",13777514,13777534,21,"*","chr20_r_c22[k=26][m=26]",26,"-","Intron (ENST00000202816.5/51575, intron 2 of 13)",20,13714322,13784886,70565,2,"51575","ENST00000202816.5",7352
"2655","chr20",31798008,31798028,21,"*","chr20_f_c62[k=26][m=26]",26,"+","Intron (ENST00000340513.4/22974, intron 17 of 18)",20,31819308,31834689,15382,1,"85366","ENST00000375994.6",-21280
"2656","chr21",44519628,44519648,21,"*","chr21_f_c115[k=26][m=26]",26,"+","Promoter (2-3kb)",21,44517620,44525952,8333,1,"114043","ENST00000465978.1",2008
"2657","chr21",46272106,46272126,21,"*","chr21_r_c101[k=26][m=26]",26,"-","Promoter (<=1kb)",21,46270263,46272623,2361,2,"8888","ENST00000479557.1",497
"2658","chr2",15609061,15609081,21,"*","chr2_f_c39[k=26][m=26]",26,"+","Intron (ENST00000381341.7/1653, intron 14 of 26)",2,15598496,15631101,32606,1,"1653","ENST00000677649.1",10565
"2659","chr22",19423530,19423550,21,"*","chr22_r_c23[k=26][m=26]",26,"-","Intron (ENST00000340170.8/7290, intron 1 of 20)",22,19398061,19430263,32203,2,"7290","ENST00000464189.5",6713
"2660","chr22",20100865,20100885,21,"*","chr22_f_c23[k=26][m=26]",26,"+","Intron (ENST00000383024.6/54487, intron 8 of 12)",22,20106182,20107575,1394,1,"54487","ENST00000495351.1",-5297
"2661","chr22",20999009,20999029,21,"*","chr22_f_c34[k=26][m=26]",26,"+","Promoter (2-3kb)",22,21000272,21001518,1247,2,"80764","ENST00000488975.1",2489
"2662","chr22",31643142,31643162,21,"*","chr22_r_c92[k=26][m=26]",26,"-","Intron (ENST00000460723.5/23761, intron 3 of 6)",22,31623684,31638445,14762,2,"23761","ENST00000429683.1",-4697
"2663","chr22",36001599,36001619,21,"*","chr22_r_c131[k=26][m=26]",26,"-","Intron (ENST00000438146.7/23543, intron 1 of 13)",22,35738736,36028824,290089,2,"23543","ENST00000438146.7",27205
"2664","chr2",62974041,62974061,21,"*","chr2_f_c172[k=26][m=26]",26,"+","Intron (ENST00000405015.7/23301, intron 14 of 22)",2,62979323,62994177,14855,1,"23301","ENST00000491965.1",-5262
"2665","chr3",149064186,149064206,21,"*","chr3_r_c409[k=26][m=26]",26,"-","Intron (ENST00000465259.5/6596, intron 9 of 24)",3,149050270,149060800,10531,2,"6596","ENST00000493881.1",-3386
"2666","chr3",167705695,167705715,21,"*","chr3_r_c456[k=26][m=26]",26,"-","Intron (ENST00000392750.7/11235, intron 3 of 8)",3,167697007,167697955,949,2,"11235","ENST00000462830.1",-7740
"2667","chr3",47682830,47682850,21,"*","chr3_r_c114[k=26][m=26]",26,"-","Intron (ENST00000254480.10/6599, intron 14 of 27)",3,47670350,47678365,8016,2,"6599","ENST00000483847.1",-4465
"2668","chr4",48855454,48855474,21,"*","chr4_f_c124[k=26][m=26]",26,"+","Promoter (<=1kb)",4,48855972,48861246,5275,1,"54940","ENST00000502972.1",-498
"2669","chr5",120532936,120532956,21,"*","chr5_f_c246[k=26][m=26]",26,"+","Promoter (1-2kb)",5,120531464,120686930,155467,1,"51334","ENST00000505123.5",1472
"2670","chr5",141623949,141623969,21,"*","chr5_r_c291[k=26][m=26]",26,"-","Promoter (2-3kb)",5,141620925,141626070,5146,2,"8841","ENST00000469207.5",2101
"2671","chr5",177154447,177154467,21,"*","chr5_f_c412[k=26][m=26]",26,"+","Intron (ENST00000510954.5/64324, intron 3 of 4)",5,177135167,177210453,75287,1,"64324","ENST00000638627.2",19280
"2672","chr5",177465198,177465218,21,"*","chr5_r_c355[k=26][m=26]",26,"-","Promoter (2-3kb)",5,177466831,177467598,768,2,"1627","ENST00000471767.1",2380
"2673","chr6",111596049,111596069,21,"*","chr6_r_c289[k=26][m=26]",26,"-","Intron (ENST00000532353.1/643749, intron 1 of 1)",6,111558942,111601214,42273,2,"10758","ENST00000392556.8",5145
"2674","chr6",138244719,138244739,21,"*","chr6_f_c370[k=26][m=26]",26,"+","Intron (ENST00000251691.5/57221, intron 7 of 33)",6,138215986,138218491,2506,2,"59351","ENST00000527246.3",-26228
"2675","chr6",143244781,143244801,21,"*","chr6_f_c381[k=26][m=26]",26,"+","Intron (ENST00000367601.8/51390, intron 4 of 5)",6,143164944,143187814,22871,1,"51390","ENST00000470265.1",79837
"2676","chr6",68832593,68832613,21,"*","chr6_r_c177[k=26][m=26]",26,"-","Intron (ENST00000370598.6/577, intron 3 of 31)",6,68638676,69388891,750216,1,"577","ENST00000546190.5",193917
"2677","chr6",7605437,7605457,21,"*","chr6_f_c46[k=26][m=26]",26,"+","Exon (ENST00000342415.6/154007, exon 7 of 9)",6,7599673,7609206,9534,1,"154007","ENST00000496946.1",5764
"2678","chr7",101827916,101827936,21,"*","chr7_f_c302[k=26][m=26]",26,"+","Intron (ENST00000437600.9/1523, intron 1 of 22)",7,101818921,102111726,292806,1,"1523","ENST00000558469.5",8995
"2679","chr7",127724544,127724564,21,"*","chr7_f_c364[k=26][m=26]",26,"+","Intron (ENST00000354725.8/27044, intron 10 of 23)",7,127718658,127929227,210570,1,"27044","ENST00000465900.5",5886
"2680","chr7",151493208,151493228,21,"*","chr7_r_c400[k=26][m=26]",26,"-","Intron (ENST00000262187.10/6009, intron 1 of 7)",7,151471404,151472067,664,2,"6009","ENST00000482053.1",-21141
"2681","chr7",158868158,158868178,21,"*","chr7_f_c511[k=26][m=26]",26,"+","Promoter (1-2kb)",7,158869446,158871499,2054,1,"55112","ENST00000397143.3",-1268
"2682","chr7",44666619,44666639,21,"*","chr7_f_c137[k=26][m=26]",26,"+","Promoter (<=1kb)",7,44666621,44675245,8625,1,"4967","ENST00000459672.5",0
"2683","chr9",2759636,2759656,21,"*","chr9_r_c5[k=26][m=26]",26,"-","Intron (ENST00000490444.2/9933, intron 3 of 3)",9,2717510,2730037,12528,1,"169522","ENST00000382082.4",42126
"2684","chrX",21943173,21943193,21,"*","chrX_f_c41[k=26][m=26]",26,"+","Promoter (2-3kb)",23,21941045,21978111,37067,1,"6611","ENST00000457085.1",2128
"2685","chr1",28438560,28438580,21,"*","chr1_f_c119[k=27][m=26]",26,"+","Promoter (<=1kb)",1,28438171,28497303,59133,1,"65979","ENST00000373836.4",389
"2686","chr15",41242272,41242292,21,"*","chr15_f_c29[k=27][m=26]",26,"+","Intron (ENST00000558351.5/11261, intron 1 of 7)",15,41231293,41279402,48110,1,"11261","ENST00000560397.5",10979
"2687","chr15",58880987,58881007,21,"*","chr15_r_c114[k=27][m=26]",26,"-","Intron (ENST00000559757.1/54778, intron 1 of 1)",15,58879425,58887007,7583,2,"79811","ENST00000560494.1",6000
"2688","chr17",74769105,74769125,21,"*","chr17_f_c354[k=27][m=26]",26,"+","3' UTR",17,74771625,74772469,845,2,"26151","ENST00000581762.1",3344
"2689","chr17",81697807,81697827,21,"*","chr17_f_c428[k=27][m=26]",26,"+","Promoter (<=1kb)",17,81696824,81700600,3777,1,"9146","ENST00000679036.1",983
"2690","chr2",176327457,176327477,21,"*","chr2_f_c416[k=27][m=26]",26,"+","Intron (ENST00000420864.5/10651, intron 6 of 10)",2,176269502,176337630,68129,1,"10651","ENST00000452865.1",57955
"2691","chr6",43511835,43511855,21,"*","chr6_r_c134[k=27][m=26]",26,"-","Promoter (1-2kb)",6,43506969,43510686,3718,2,"221424","ENST00000372441.1",-1149
"2692","chr6",50822070,50822090,21,"*","chr6_f_c202[k=27][m=26]",26,"+","Promoter (<=1kb)",6,50821785,50823865,2081,1,"7021","ENST00000489228.1",285
"2693","chr22",41276670,41276690,21,"*","chr22_r_c165[k=28][m=26]",26,"-","Promoter (2-3kb)",22,41256021,41274660,18640,2,"5905","ENST00000446258.5",-2010
"2694","chr2",1540053,1540073,21,"*","chr2_r_c5[k=30][m=26]",26,"-","Intron (ENST00000497517.6/7173, intron 5 of 5)",2,1552445,1554701,2257,1,"102723730","ENST00000640435.1",-12372
"2695","chr6",16726080,16726100,21,"*","chr6_r_c43[k=30][m=26]",26,"-","Intron (ENST00000244769.8/6310, intron 3 of 8)",6,16432564,16750092,317529,2,"6310","ENST00000483591.6",23992
"2696","chr16",74643726,74643746,21,"*","chr16_r_c228[k=31][m=26]",26,"-","Promoter (<=1kb)",16,74643979,74644637,659,2,"55159","ENST00000572610.1",891
"2697","chr17",67325134,67325154,21,"*","chr17_f_c335[k=34][m=26]",26,"+","Distal Intergenic",17,67340975,67342484,1510,2,"5718","ENST00000577724.1",17330
"2698","chr11",68460192,68460212,21,"*","chr11_r_c241[k=35][m=26]",26,"-","Promoter (<=1kb)",11,68460731,68537669,76939,1,"55291","ENST00000530427.5",-519
"2699","chr4",7758902,7758922,21,"*","chr4_r_c39[k=36][m=26]",26,"-","3' UTR",4,7754088,7764551,10464,1,"84740","ENST00000674004.1",4814
"2700","chr17",38574793,38574813,21,"*","chr17_r_c151[k=47][m=26]",26,"-","Promoter (1-2kb)",17,38541284,38572820,31537,2,"80725","ENST00000621763.4",-1973
"2701","chr1",155314770,155314790,21,"*","chr1_f_c507[k=58][m=26]",26,"+","Intron (ENST00000611010.4/2224, intron 2 of 8)",1,155318175,155319885,1711,1,"2224","ENST00000492887.5",-3385
"2702","chr4",8609339,8609359,21,"*","chr4_r_c46[k=59][m=26]",26,"-","Intron (ENST00000514302.5/8532, intron 9 of 13)",4,8601970,8619761,17792,1,"8532","ENST00000513120.2",7369
"2703","chr11",65443281,65443301,21,"*","chr11_f_c251[k=85][m=26]",26,"+","Promoter (1-2kb)",11,65444458,65444557,100,1,"693197","ENST00000384994.1",-1157
"2704","chr9",127505345,127505365,21,"*","chr9_r_c269[k=124][m=26]",26,"-","3' UTR",9,127509888,127516893,7006,2,"64855","ENST00000465154.1",11528
"2705","chr1",153543648,153543668,21,"*","chr1_r_c464[k=146][m=26]",26,"-","Promoter (1-2kb)",1,153543613,153545063,1451,2,"6275","ENST00000368715.5",1395
"2706","chr11",1753350,1753370,21,"*","chr11_r_c17[k=151][m=26]",26,"-","Promoter (<=1kb)",11,1735152,1753874,18723,2,"402778","ENST00000636579.1",504
"2707","chr7",142666174,142666194,21,"*","chr7_f_c454[k=304][m=26]",26,"+","Promoter (<=1kb)",7,142666272,142667718,1447,1,"100463482","ENST00000604952.1",-78
"2708","chr1",11908220,11908240,21,"*","chr1_f_c54[k=1631][m=26]",26,"+","Promoter (<=1kb)",1,11908152,11908271,120,1,"26829","ENST00000362477.1",68
"2709","chr10",74468960,74468980,21,"*","chr10_f_c205[k=25][m=25]",25,"+","Intron (ENST00000672429.1/132, intron 6 of 9)",10,74525364,74528299,2936,1,"132","ENST00000467840.1",-56384
"2710","chr11",110433601,110433621,21,"*","chr11_f_c578[k=25][m=25]",25,"+","Intron (ENST00000260270.3/2230, intron 1 of 3)",11,110429948,110464884,34937,1,"2230","ENST00000260270.3",3653
"2711","chr11",116054407,116054427,21,"*","chr11_r_c365[k=25][m=25]",25,"-","Distal Intergenic",11,115932857,115940210,7354,1,"102724165","ENST00000539222.1",121550
"2712","chr1",113423269,113423289,21,"*","chr1_f_c420[k=25][m=25]",25,"+","Intron (ENST00000307546.14/260425, intron 1 of 20)",1,113391261,113404455,13195,1,"260425","ENST00000477955.1",32008
"2713","chr1",156154759,156154779,21,"*","chr1_f_c515[k=25][m=25]",25,"+","Promoter (<=1kb)",1,156154877,156159031,4155,1,"64218","ENST00000470306.5",-98
"2714","chr1",161803784,161803804,21,"*","chr1_f_c527[k=25][m=25]",25,"+","Intron (ENST00000680688.1/22926, intron 7 of 15)",1,161840075,161860244,20170,1,"22926","ENST00000476437.1",-36271
"2715","chr11",65427438,65427458,21,"*","chr11_f_c217[k=25][m=25]",25,"+","Exon (ENST00000501122.2/283131, exon 1 of 1)",11,65423960,65424118,159,1,"283131","ENST00000613347.1",3478
"2716","chr11",67291787,67291807,21,"*","chr11_f_c438[k=25][m=25]",25,"+","Promoter (<=1kb)",11,67292138,67300302,8165,1,"338692","ENST00000504186.5",-331
"2717","chr11",97205695,97205715,21,"*","chr11_f_c546[k=25][m=25]",25,"+","Distal Intergenic",11,96508425,96514748,6324,1,"105369443","ENST00000543403.1",697270
"2718","chr1",208528377,208528397,21,"*","chr1_f_c731[k=25][m=25]",25,"+","Distal Intergenic",1,208606564,208614295,7732,2,"107985254","ENST00000568112.2",85898
"2719","chr1",212069563,212069583,21,"*","chr1_f_c745[k=25][m=25]",25,"+","Promoter (2-3kb)",1,212072074,212100700,28627,1,"51514","ENST00000489149.1",-2491
"2720","chr1",225568589,225568609,21,"*","chr1_r_c765[k=25][m=25]",25,"-","Promoter (1-2kb)",1,225519044,225567270,48227,2,"55740","ENST00000497899.6",-1319
"2721","chr12",2979699,2979719,21,"*","chr12_f_c23[k=25][m=25]",25,"+","Intron (ENST00000358409.7/7004, intron 2 of 11)",12,2959944,3020759,60816,1,"7004","ENST00000443986.3",19755
"2722","chr12",32489611,32489631,21,"*","chr12_f_c137[k=25][m=25]",25,"+","Intron (ENST00000534526.7/121512, intron 1 of 16)",12,32485972,32640739,154768,1,"121512","ENST00000531134.7",3639
"2723","chr1",233066387,233066407,21,"*","chr1_r_c816[k=25][m=25]",25,"-","Intron (ENST00000258229.14/80003, intron 23 of 33)",1,232984136,233058518,74383,2,"80003","ENST00000344698.6",-7869
"2724","chr13",40966267,40966287,21,"*","chr13_r_c65[k=25][m=25]",25,"-","Intron (ENST00000239882.7/1997, intron 2 of 8)",13,40933352,40982225,48874,2,"1997","ENST00000625359.1",15938
"2725","chr13",62550622,62550642,21,"*","chr13_f_c82[k=25][m=25]",25,"+","Intron (ENST00000671601.1/105370232, intron 1 of 2)",13,62539351,62574905,35555,2,"105370232","ENST00000671601.1",24263
